,1985,1995,2005,2015,2018
831,,92.0,90.0,126.0,138.0
832,94.0,145.0,7.0,49.0,124.0
833,101.0,139.0,229.0,47.0,69.0
834,78.0,128.0,152.0,24.0,26.0
954,62.0,116.0,71.0,45.0,70.0
835,114.0,61.0,53.0,79.0,113.0
836,98.0,97.0,61.0,104.0,145.0
837,86.0,120.0,86.0,104.0,146.0
838,89.0,82.0,86.0,113.0,105.0
952,,93.0,173.0,,
1227,,,,,
839,,102.0,139.0,96.0,52.0
840,125.0,117.0,192.0,60.0,52.0
1141,,,,,
1055,,,128.0,86.0,117.0
841,89.0,140.0,53.0,54.0,82.0
1098,,,,,
1005,,,134.0,69.0,32.0
1137,,,,,
1017,,,115.0,84.0,41.0
842,117.0,92.0,99.0,93.0,68.0
843,,132.0,196.0,76.0,44.0
979,,,61.0,0.0,34.0
844,149.0,146.0,135.0,50.0,57.0
845,103.0,123.0,62.0,98.0,88.0
846,89.0,135.0,203.0,29.0,39.0
1188,,,,,
847,110.0,74.0,44.0,73.0,154.0
848,75.0,135.0,136.0,21.0,30.0
849,102.0,116.0,200.0,42.0,30.0
850,79.0,98.0,61.0,132.0,195.0
974,,,10.0,4.0,135.0
852,102.0,80.0,109.0,72.0,82.0
853,137.0,138.0,241.0,62.0,61.0
909,,,36.0,17.0,137.0
1160,,,,,
854,,136.0,142.0,83.0,14.0
855,101.0,118.0,56.0,57.0,67.0
924,130.0,150.0,86.0,81.0,131.0
1147,,,,,
857,106.0,105.0,148.0,108.0,40.0
858,125.0,158.0,90.0,76.0,114.0
859,,98.0,100.0,91.0,87.0
860,101.0,159.0,100.0,73.0,108.0
861,326.0,110.0,151.0,15.0,10.0
862,92.0,108.0,71.0,121.0,196.0
863,116.0,116.0,14.0,32.0,90.0
864,125.0,118.0,169.0,70.0,53.0
865,116.0,156.0,290.0,92.0,33.0
1042,,,,,
866,266.0,122.0,100.0,0.0,0.0
867,113.0,99.0,80.0,75.0,67.0
868,87.0,110.0,89.0,94.0,117.0
869,87.0,93.0,107.0,80.0,113.0
870,96.0,75.0,88.0,107.0,92.0
871,,82.0,69.0,78.0,46.0
872,72.0,63.0,79.0,91.0,88.0
873,100.0,121.0,51.0,54.0,55.0
874,,115.0,172.0,63.0,76.0
875,84.0,116.0,73.0,128.0,218.0
876,141.0,75.0,59.0,81.0,163.0
877,243.0,24.0,27.0,0.0,12.0
1228,,,,,
1197,,,,,
878,,102.0,73.0,,
1033,,,96.0,96.0,93.0
