,1985,1995,2005,2015,2018
419,89.0,99.0,84.0,112.0,104.0
420,197.0,72.0,0.0,0.0,70.0
422,212.0,0.0,7.0,2.0,44.0
423,126.0,120.0,61.0,48.0,57.0
424,109.0,171.0,109.0,52.0,64.0
425,107.0,87.0,73.0,95.0,128.0
1010,,,77.0,1.0,42.0
426,,89.0,78.0,120.0,82.0
1045,,,94.0,61.0,37.0
977,,,5.0,0.0,18.0
427,131.0,98.0,67.0,125.0,121.0
428,81.0,139.0,119.0,14.0,21.0
430,135.0,149.0,142.0,118.0,70.0
431,130.0,127.0,146.0,79.0,64.0
432,162.0,132.0,152.0,42.0,42.0
919,,,65.0,110.0,169.0
433,93.0,77.0,74.0,95.0,136.0
434,314.0,93.0,0.0,0.0,60.0
435,128.0,92.0,149.0,65.0,41.0
436,97.0,118.0,74.0,119.0,132.0
437,119.0,78.0,70.0,134.0,140.0
438,101.0,72.0,100.0,104.0,128.0
439,111.0,121.0,58.0,81.0,85.0
923,,,180.0,78.0,84.0
440,134.0,98.0,91.0,54.0,58.0
442,117.0,38.0,10.0,1.0,35.0
443,83.0,79.0,126.0,7.0,40.0
444,116.0,130.0,167.0,101.0,45.0
445,116.0,87.0,33.0,5.0,14.0
446,103.0,103.0,92.0,57.0,59.0
448,79.0,115.0,79.0,70.0,85.0
449,103.0,98.0,110.0,36.0,69.0
450,,,,,
451,86.0,98.0,87.0,108.0,137.0
452,,136.0,204.0,125.0,45.0
453,93,88,108,72,56
454,97.0,105.0,71.0,72.0,37.0
455,142.0,99.0,130.0,50.0,65.0
1243,,,,,
906,,122.0,86.0,70.0,59.0
457,109.0,87.0,90.0,82.0,76.0
943,,,0.0,10.0,142.0
458,144.0,66.0,11.0,41.0,132.0
1105,,,,,
460,,78.0,84.0,140.0,122.0
461,,129.0,192.0,65.0,60.0
998,,,,,
462,82.0,137.0,124.0,53.0,54.0
936,,,140.0,123.0,70.0
463,64.0,136.0,133.0,28.0,36.0
1163,,,,,
464,121.0,103.0,59.0,3.0,46.0
465,,121.0,142.0,65.0,74.0
910,,,15.0,0.0,119.0
466,131.0,100.0,46.0,63.0,124.0
921,,,100.0,23.0,6.0
1106,,,,,
467,98.0,93.0,118.0,72.0,79.0
468,87.0,96.0,100.0,96.0,104.0
1252,,,,,
1120,,,,,
469,134.0,75.0,46.0,94.0,146.0
470,332.0,22.0,7.0,0.0,88.0
471,113.0,106.0,98.0,69.0,63.0
472,87.0,122.0,72.0,117.0,182.0
1092,,,,13.0,41.0
1174,187.0,171.0,155.0,81.0,171.0
473,129.0,114.0,188.0,14.0,16.0
474,100.0,108.0,143.0,66.0,51.0
1054,,,116.0,58.0,44.0
475,105.0,95.0,134.0,100.0,80.0
